Origin Document,File,Entity,Entity-Long,Section,Section Title,Part In Document,Description,Link,Symbol,Full Document Symbol,Source
PKM 26/27 (A/80/623),A_80_623.json,MINUSCA,United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,"Mandate, results achieved and planned outcome",The mandate of the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (MINUSCA) was established by the Security Council in its resolution 2149 (2014).,https://docs.un.org/en/S/RES/2149(2014),2149 (2014),S/RES/2149(2014),Security Council resolutions
PKM 26/27 (A/80/623),A_80_623.json,MINUSCA,United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided in its resolutions 2709 (2023) and 2759 (2024).,https://docs.un.org/en/S/RES/2709(2023),2709 (2023),S/RES/2709(2023),Security Council resolutions
PKM 26/27 (A/80/623),A_80_623.json,MINUSCA,United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided in its resolutions 2709 (2023) and 2759 (2024).,https://docs.un.org/en/S/RES/2759(2024),2759 (2024),S/RES/2759(2024),Security Council resolutions
PKM 26/27 (A/80/623),A_80_623.json,MINUSCA,United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,"Mandate, results achieved and planned outcome","The most recent extension of the mandate was authorized by the Council in its resolution 2800 (2025), by which the Council extended the mandate until 15 November 2026.",https://docs.un.org/en/S/RES/2800(2025),2800 (2025),S/RES/2800(2025),Security Council resolutions
PKM 26/27 (A/80/623),A_80_623.json,MINUSCA,United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,"Mandate, results achieved and planned outcome","In its resolution 2800 (2025), the Security Council reduced the authorized strength of the uniformed component of the Mission by deciding that MINUSCA shall comprise up to 14,046 military personnel, including 580 military observers and military staff officers, and 2,999 police personnel, including 589 individual police officers and 2,410 formed police unit personnel, as well as 108 corrections officers, recalled its intention to keep that number under continuous review, taking into account progress on the security situation and the objective of transition and eventual drawdown of MINUSCA when conditions were met, and further expressed its firm intention to review the number of personnel following the successful completion of the electoral process scheduled in 2025 and 2026.",https://docs.un.org/en/S/RES/2800(2025),2800 (2025),S/RES/2800(2025),Security Council resolutions
PKM 26/27 (A/80/623),A_80_623.json,MINUSCA,United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,"Mandate, results achieved and planned outcome","The successful conduct of the combined presidential, legislative, regional and municipal elections on 28 December 2025 marked a significant milestone for the Central African Republic and provides an opportunity for MINUSCA to adjust its footprint and posture in line with its mandate under Security Council resolution 2800 (2025).",https://docs.un.org/en/S/RES/2800(2025),2800 (2025),S/RES/2800(2025),Security Council resolutions
PKM 26/27 (A/80/623),A_80_623.json,MINUSCA,United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,"Mandate, results achieved and planned outcome","In the light of the post-election context, and in preparation for implementation of the MINUSCA mandate during the 2026/27 period, the Mission is initiating a phase of consolidation, reconfiguration and internal strategic review, in line with paragraph 48 of Security Council resolution 2800 (2025).",https://docs.un.org/en/S/RES/2800(2025),2800 (2025),S/RES/2800(2025),Security Council resolutions
PKM 26/27 (A/80/623),A_80_623.json,MINUSCA,United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,"Mandate, results achieved and planned outcome","In line with the request from the General Assembly in its resolution 76/274 for further nationalization and taking into account the proposed abolishment of one post of Senior Victims’ Rights Officer (P-5) in the Office of the Special Representative of the Secretary-General, the capacity of national staff and the potential for increased efficiencies, it is proposed that one post of Victims’ Rights Officer (National Professional Officer) be established.",https://docs.un.org/en/A/RES/76/274,76/274,A/RES/76/274,General Assembly resolutions
PKM 26/27 (A/80/624),A_80_624.json,MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,Financing of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,"Mandate, results achieved and planned outcome",The mandate of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo (MONUSCO) was established by the Security Council in its resolution 1925 (2010).,https://docs.un.org/en/S/RES/1925(2010),1925 (2010),S/RES/1925(2010),Security Council resolutions
PKM 26/27 (A/80/624),A_80_624.json,MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,Financing of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided in its resolutions 2717 (2023) and 2765 (2024).,https://docs.un.org/en/S/RES/2717(2023),2717 (2023),S/RES/2717(2023),Security Council resolutions
PKM 26/27 (A/80/624),A_80_624.json,MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,Financing of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided in its resolutions 2717 (2023) and 2765 (2024).,https://docs.un.org/en/S/RES/2765(2024),2765 (2024),S/RES/2765(2024),Security Council resolutions
PKM 26/27 (A/80/624),A_80_624.json,MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,Financing of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,"Mandate, results achieved and planned outcome","The most recent extension of the mandate was authorized by the Council in its resolution 2808 (2025), by which it extended the mandate until 20 December 2026.",https://docs.un.org/en/S/RES/2808(2025),2808 (2025),S/RES/2808(2025),Security Council resolutions
PKM 26/27 (A/80/624),A_80_624.json,MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,Financing of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,"Mandate, results achieved and planned outcome","In the 2026/27 period, the strategic priorities of MONUSCO are expected to contribute to (a) the protection of civilians in its areas of deployment; (b) the achievement of the objectives set out in Security Council resolution 2773 (2025); and (c) support for the stabilization and strengthening of State institutions in the Democratic Republic of the Congo.",https://docs.un.org/en/S/RES/2773(2025),2773 (2025),S/RES/2773(2025),Security Council resolutions
PKM 26/27 (A/80/624),A_80_624.json,MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,Financing of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,"Mandate, results achieved and planned outcome","In addition to its continuing support for regional and international peace efforts, under Council resolution 2808 (2025) the Mission was formally authorized to support the implementation of a permanent ceasefire.",https://docs.un.org/en/S/RES/2808(2025),2808 (2025),S/RES/2808(2025),Security Council resolutions
PKM 26/27 (A/80/624),A_80_624.json,MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,Financing of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,"Mandate, results achieved and planned outcome","Under Security Council resolution 2808 (2025), MONUSCO is authorized to support the implementation of a permanent ceasefire, including through participation in the Ceasefire Oversight and Verification Mechanism and the provision of technical and logistical support to the Expanded Joint Verification Mechanism Plus.",https://docs.un.org/en/S/RES/2808(2025),2808 (2025),S/RES/2808(2025),Security Council resolutions
PKM 26/27 (A/80/624),A_80_624.json,MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,Financing of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,"Mandate, results achieved and planned outcome","MONUSCO will, to the extent possible, leverage existing infrastructure, assets and support arrangements in North Kivu and Ituri, while retaining an ability to scale, reconfigure or redeploy to support ceasefire monitoring and verification activities in South Kivu, as explicitly authorized in resolution 2808 (2025).",https://docs.un.org/en/S/RES/2808(2025),2808 (2025),S/RES/2808(2025),Security Council resolutions
PKM 26/27 (A/80/624),A_80_624.json,MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,Financing of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,"Mandate, results achieved and planned outcome","The Mission will sustain its logistical support for the forward force headquarters in Beni to facilitate joint operations and strengthened coordination with FARDC, while remaining agile and flexible to expand its areas of support to South Kivu, pursuant to Security Council resolution 2808 (2025).",https://docs.un.org/en/S/RES/2808(2025),2808 (2025),S/RES/2808(2025),Security Council resolutions
PKM 26/27 (A/80/624),A_80_624.json,MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,Financing of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,"Mandate, results achieved and planned outcome","Subsequently, the Security Council, in its resolution 2808 (2025), introduced a new mandate priority for MONUSCO to support the implementation of Council resolution 2773 (2025), with a focus on support for a permanent ceasefire.",https://docs.un.org/en/S/RES/2808(2025),2808 (2025),S/RES/2808(2025),Security Council resolutions
PKM 26/27 (A/80/624),A_80_624.json,MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,Financing of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,"Mandate, results achieved and planned outcome","Subsequently, the Security Council, in its resolution 2808 (2025), introduced a new mandate priority for MONUSCO to support the implementation of Council resolution 2773 (2025), with a focus on support for a permanent ceasefire.",https://docs.un.org/en/S/RES/2773(2025),2773 (2025),S/RES/2773(2025),Security Council resolutions
PKM 26/27 (A/80/628),A_80_628.json,UNSOS,United Nations Support Office in Somalia,,Financing of the activities arising from Security Council resolution 1863 (2009),"Mandate, results achieved and planned outcome",The United Nations Support Office in Somalia (UNSOS) was established by the Security Council in its resolution 1863 (2009) to provide support to the African Union Mission in Somalia.,https://docs.un.org/en/S/RES/1863(2009),1863 (2009),S/RES/1863(2009),Security Council resolutions
PKM 26/27 (A/80/628),A_80_628.json,UNSOS,United Nations Support Office in Somalia,,Financing of the activities arising from Security Council resolution 1863 (2009),"Mandate, results achieved and planned outcome","The mandate for the performance period was provided in its resolutions 2748 (2024), 2767 (2024) and 2776 (2025).",https://docs.un.org/en/S/RES/2748(2024),2748 (2024),S/RES/2748(2024),Security Council resolutions
PKM 26/27 (A/80/628),A_80_628.json,UNSOS,United Nations Support Office in Somalia,,Financing of the activities arising from Security Council resolution 1863 (2009),"Mandate, results achieved and planned outcome","The mandate for the performance period was provided in its resolutions 2748 (2024), 2767 (2024) and 2776 (2025).",https://docs.un.org/en/S/RES/2767(2024),2767 (2024),S/RES/2767(2024),Security Council resolutions
PKM 26/27 (A/80/628),A_80_628.json,UNSOS,United Nations Support Office in Somalia,,Financing of the activities arising from Security Council resolution 1863 (2009),"Mandate, results achieved and planned outcome","The mandate for the performance period was provided in its resolutions 2748 (2024), 2767 (2024) and 2776 (2025).",https://docs.un.org/en/S/RES/2776(2025),2776 (2025),S/RES/2776(2025),Security Council resolutions
PKM 26/27 (A/80/628),A_80_628.json,UNSOS,United Nations Support Office in Somalia,,Financing of the activities arising from Security Council resolution 1863 (2009),"Mandate, results achieved and planned outcome","The most recent extension of the mandate was authorized by the Council in its resolution 2809 (2025), by which it extended the mandate until 31 December 2026.",https://docs.un.org/en/S/RES/2809(2025),2809 (2025),S/RES/2809(2025),Security Council resolutions
PKM 26/27 (A/80/628),A_80_628.json,UNSOS,United Nations Support Office in Somalia,,Financing of the activities arising from Security Council resolution 1863 (2009),"Mandate, results achieved and planned outcome","The Council, in its resolution 2809 (2025), also reaffirmed the continued role of UNSOS in providing required logistical and administrative services, including to the United Nations Transitional Assistance Mission in Somalia (UNTMIS) on a cost-recovery basis until the conclusion of its phased drawdown by 31 October 2026.",https://docs.un.org/en/S/RES/2809(2025),2809 (2025),S/RES/2809(2025),Security Council resolutions
PKM 26/27 (A/80/628),A_80_628.json,UNSOS,United Nations Support Office in Somalia,,Financing of the activities arising from Security Council resolution 1863 (2009),"Mandate, results achieved and planned outcome","In this context, and consistent with paragraph 23 of resolution 2809 (2025), UNSOS will continue to adapt its support for AUSSOM, taking into account measures implemented to manage its liquidity shortfall and prioritizing the sustained capacity of AUSSOM to consolidate peace and security gains across phases 2, 3 and 4 of the concept of operations.",https://docs.un.org/en/S/RES/2809(2025),2809 (2025),S/RES/2809(2025),Security Council resolutions
PKM 26/27 (A/80/628),A_80_628.json,UNSOS,United Nations Support Office in Somalia,,Financing of the activities arising from Security Council resolution 1863 (2009),"Mandate, results achieved and planned outcome","In its resolution 2753 (2024), the Security Council expressed its intention to terminate the mandate of UNTMIS at the end of the anticipated two-phased transition on 31 October 2026.",https://docs.un.org/en/S/RES/2753(2024),2753 (2024),S/RES/2753(2024),Security Council resolutions
PKM 26/27 (A/80/628),A_80_628.json,UNSOS,United Nations Support Office in Somalia,,Financing of the activities arising from Security Council resolution 1863 (2009),"Mandate, results achieved and planned outcome","Pursuant to resolution 2809 (2025), the implementation of the human rights due diligence policy remains mandatory for all United Nations support provided to AUSSOM and Somali security forces.",https://docs.un.org/en/S/RES/2809(2025),2809 (2025),S/RES/2809(2025),Security Council resolutions
PKM 26/27 (A/80/628),A_80_628.json,UNSOS,United Nations Support Office in Somalia,,Financing of the activities arising from Security Council resolution 1863 (2009),"Mandate, results achieved and planned outcome",These positions had been dedicated to providing administrative and operational support to UNTMIS on a cost-recovery basis in accordance with Security Council resolution 2767 (2024).,https://docs.un.org/en/S/RES/2767(2024),2767 (2024),S/RES/2767(2024),Security Council resolutions
PKM 26/27 (A/80/630),A_80_630.json,UNSOH,United Nations Support Office in Haiti,,Financing of the United Nations Support Office in Haiti,Mandate and planned outcome,The mandate of UNSOH was established by the Security Council in its resolution 2793 (2025).,https://docs.un.org/en/S/RES/2793(2025),2793 (2025),S/RES/2793(2025),Security Council resolutions
PKM 26/27 (A/80/630),A_80_630.json,UNSOH,United Nations Support Office in Haiti,,Financing of the United Nations Support Office in Haiti,Mandate and planned outcome,"In the resolution, the Council authorized Member States to transition the Multinational Security Support Mission, as authorized in resolution 2699 (2023) and renewed in resolution 2751 (2024), to the Gang Suppression Force, in close cooperation and coordination with the Government of Haiti, for an initial period of 12 months, comprising an authorized personnel ceiling of 5,550 for the Gang Suppression Force, consisting of 5,500 uniformed personnel, comprising both military and police personnel, and 50 civilians.",https://docs.un.org/en/S/RES/2699(2023),2699 (2023),S/RES/2699(2023),Security Council resolutions
PKM 26/27 (A/80/630),A_80_630.json,UNSOH,United Nations Support Office in Haiti,,Financing of the United Nations Support Office in Haiti,Mandate and planned outcome,"In the resolution, the Council authorized Member States to transition the Multinational Security Support Mission, as authorized in resolution 2699 (2023) and renewed in resolution 2751 (2024), to the Gang Suppression Force, in close cooperation and coordination with the Government of Haiti, for an initial period of 12 months, comprising an authorized personnel ceiling of 5,550 for the Gang Suppression Force, consisting of 5,500 uniformed personnel, comprising both military and police personnel, and 50 civilians.",https://docs.un.org/en/S/RES/2751(2024),2751 (2024),S/RES/2751(2024),Security Council resolutions
PKM 26/27 (A/80/630),A_80_630.json,UNSOH,United Nations Support Office in Haiti,,Financing of the United Nations Support Office in Haiti,Mandate and planned outcome,"The Security Council noted the assessment by the Secretary-General, contained in his letter to the President of the Security Council (S/2025/122), that a United Nations support office should provide comprehensive logistical and operational support to the Gang Suppression Force and, owing to the unique character of the Force, requested the Secretary-General to establish the United Nations Support Office in Haiti (UNSOH) to provide support, primarily to the Gang Suppression Force, the United Nations Integrated Office in Haiti (BINUH), the Haitian National Police and the Haitian Armed Forces on any joint operations with the Gang Suppression Force, as well as technical support to the Organization of American States (OAS), with a view to assuming full logistical support responsibility for the Gang Suppression Force within six months of the adoption of resolution 2793 (2025).",https://docs.un.org/en/S/RES/2793(2025),2793 (2025),S/RES/2793(2025),Security Council resolutions
PKM 26/27 (A/80/630),A_80_630.json,UNSOH,United Nations Support Office in Haiti,,Financing of the United Nations Support Office in Haiti,Mandate and planned outcome,"UNSOH will provide, on a cost-recovery basis, the standard range of mission support services to BINUH in support of the delivery of its mandate, as extended in resolution 2814 (2026), with a view to assuming full responsibility by 1 February 2026.",https://docs.un.org/en/S/RES/2814(2026),2814 (2026),S/RES/2814(2026),Security Council resolutions
PKM 26/27 (A/80/630),A_80_630.json,UNSOH,United Nations Support Office in Haiti,,Financing of the United Nations Support Office in Haiti,Mandate and planned outcome,"Through its resolution 2793 (2025), the Security Council established UNSOH as a separate entity in Haiti, with dedicated leadership.",https://docs.un.org/en/S/RES/2793(2025),2793 (2025),S/RES/2793(2025),Security Council resolutions
PKM 26/27 (A/80/630),A_80_630.json,UNSOH,United Nations Support Office in Haiti,,Financing of the United Nations Support Office in Haiti,Mandate and planned outcome,"The requirements take into account the milestones outlined in resolution 2793 (2025), including the provision of support to Gang Suppression Force starting on 1 April 2026 and the anticipated deployment of the Force.",https://docs.un.org/en/S/RES/2793(2025),2793 (2025),S/RES/2793(2025),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","The mandate of the United Nations Interim Force in Lebanon (UNIFIL) was established by the Security Council in its resolutions 425 (1978) and 426 (1978), expanded in its resolution 1701 (2006) and extended in subsequent resolutions.",https://docs.un.org/en/S/RES/425(1978),425 (1978),S/RES/425(1978),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","The mandate of the United Nations Interim Force in Lebanon (UNIFIL) was established by the Security Council in its resolutions 425 (1978) and 426 (1978), expanded in its resolution 1701 (2006) and extended in subsequent resolutions.",https://docs.un.org/en/S/RES/426(1978),426 (1978),S/RES/426(1978),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","The mandate of the United Nations Interim Force in Lebanon (UNIFIL) was established by the Security Council in its resolutions 425 (1978) and 426 (1978), expanded in its resolution 1701 (2006) and extended in subsequent resolutions.",https://docs.un.org/en/S/RES/1701(2006),1701 (2006),S/RES/1701(2006),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided by the Council in its resolutions 2695 (2023) and 2749 (2024).,https://docs.un.org/en/S/RES/2695(2023),2695 (2023),S/RES/2695(2023),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided by the Council in its resolutions 2695 (2023) and 2749 (2024).,https://docs.un.org/en/S/RES/2749(2024),2749 (2024),S/RES/2749(2024),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","The most recent extension of the mandate was authorized by the Council in its resolution 2790 (2025), by which it extended the mandate for a final time until 31 December 2026, when the Force is to cease its operations and to start from this date and within one year its orderly and safe drawdown and withdrawal of personnel.",https://docs.un.org/en/S/RES/2790(2025),2790 (2025),S/RES/2790(2025),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","The subsequent announcement of a cessation of hostilities between Lebanon and Israel (see S/2024/870), effective 27 November 2024, created a period of new opportunities for the implementation of resolution 1701 (2006), with the parties committing to its full implementation.",https://docs.un.org/en/S/RES/1701(2006),1701 (2006),S/RES/1701(2006),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","Until 27 November 2024, with the movement of UNIFIL highly restricted, the Force’s operational priorities were monitoring violations of resolution 1701 (2006), with significantly increased reporting requirements, as well as liaison and coordination between the parties.",https://docs.un.org/en/S/RES/1701(2006),1701 (2006),S/RES/1701(2006),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","UNIFIL finalized its adaptation plan in January 2025 and subsequently implemented a more robust, operations-centred modus operandi, with dedicated operations involving multiple military assets, focused on assisting the Lebanese Armed Forces in deploying south of the Litani River, creating a safe and secure environment and preventing violations of resolution 1701 (2006).",https://docs.un.org/en/S/RES/1701(2006),1701 (2006),S/RES/1701(2006),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","UNIFIL will, during the first six months of the 2026/27 period, prioritize activities aimed at supporting the parties in maintaining the cessation of hostilities and stability along the Blue Line, recommitting to the full implementation of resolution 1701 (2006) and taking concrete steps towards addressing outstanding provisions of that resolution, including steps towards a permanent ceasefire, and a long-term political solution between Lebanon and Israel, which are key to long-term stability.",https://docs.un.org/en/S/RES/1701(2006),1701 (2006),S/RES/1701(2006),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","Pursuant to resolution 2790 (2025), UNIFIL will also remain ready to support, when relevant, enhanced diplomatic efforts to resolve any dispute or reservations pertaining to the international border between Lebanon and Israel.",https://docs.un.org/en/S/RES/2790(2025),2790 (2025),S/RES/2790(2025),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","UNIFIL will continue to monitor, investigate and report on violations of resolution 1701 (2006), concurrently supporting the parties in fulfilling their commitments to the resolution.",https://docs.un.org/en/S/RES/1701(2006),1701 (2006),S/RES/1701(2006),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","UNIFIL will cooperate with and support the mechanism set out in resolution 2790 (2025), including through the Force’s monitoring and verification role.",https://docs.un.org/en/S/RES/2790(2025),2790 (2025),S/RES/2790(2025),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome",UNIFIL will intensify its support to the Lebanese Armed Forces to ensure their effective and sustainable deployment south of the Litani River and to enhance their capacities to implement Security Council resolution 1701 (2006).,https://docs.un.org/en/S/RES/1701(2006),1701 (2006),S/RES/1701(2006),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","A lean and essential leadership and coordination structure of the executive direction and management component will continue to provide unified oversight, ensuring that political, operational and administrative activities remain fully aligned with Security Council resolution 2790 (2025), the directives of the Secretary-General and the relevant policies of the Organization.",https://docs.un.org/en/S/RES/2790(2025),2790 (2025),S/RES/2790(2025),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome","Strategic communications will continue to manage the Force’s public narrative and legacy messaging, countering disinformation and misinformation and ensuring transparent engagement with host authorities and the public, including as provided for under Council resolution 2790 (2025).",https://docs.un.org/en/S/RES/2790(2025),2790 (2025),S/RES/2790(2025),Security Council resolutions
PKM 26/27 (A/80/634),A_80_634.json,UNIFIL,United Nations Interim Force in Lebanon,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Interim Force in Lebanon,"Mandate, results achieved and planned outcome",All parties will remain committed to the implementation of Security Council resolution 1701 (2006); UNIFIL will be afforded freedom of movement by all parties,https://docs.un.org/en/S/RES/1701(2006),All parties will remain committed to the implementation of Security Council resolution 1701 (2006),S/RES/1701(2006),Security Council resolutions
